"Time / s","IL_2:Measured current"
0,0
9.9999999999997158e-07,-0.013543790942841548
9.9999999999999995e-07,-0.013543790942842316
1.9999999999999432e-06,-0.053994796195476293
1.9999999999999999e-06,-0.053994796195479346
2.9999999999999149e-06,-0.12106390209728468
3.0000000000000001e-06,-0.12106390209729152
3.9999999999998863e-06,-0.21443767197974956
3.9999999999999998e-06,-0.21443767197976163
4.9999999999998573e-06,-0.33399588322040363
4.9999999999999996e-06,-0.33399588322042256
5.9999999999998299e-06,-0.48069465541999956
6.0000000000000002e-06,-0.48069465542002693
6.9999999999998008e-06,-0.65631725299240673
6.9999999999999999e-06,-0.6563172529924447
7.9999999999997726e-06,-0.86330689256842763
7.9999999999999996e-06,-0.86330689256847837
8.9999999999997444e-06,-1.104774777611105
9.0000000000000002e-06,-1.1047747776111714
9.9999999999997145e-06,-1.384560242927253
9.9999999999999991e-06,-1.3845602429273385
1.0999999999999686e-05,-1.7072007391305362
1.1e-05,-1.7072007391306445
1.199999999999966e-05,-2.0779076369183325
1.2e-05,-2.0779076369184675
1.299999999999963e-05,-2.5023197754402937
1.2999999999999999e-05,-2.5023197754404611
1.3999999999999602e-05,-2.98553837548301
1.4e-05,-2.9855383754832148
1.4999999999999572e-05,-3.5323832774958275
1.4999999999999999e-05,-3.5323832774960753
1.5999999999999545e-05,-4.1475599748618714
1.5999999999999999e-05,-4.1475599748621672
1.6999999999999515e-05,-4.8356555177322633
1.7e-05,-4.835655517732615
1.7999999999999489e-05,-5.6011347515040875
1.8e-05,-5.6011347515044996
1.8999999999999459e-05,-6.4483367187817375
1.8999999999999998e-05,-6.4483367187822163
1.9999999999999429e-05,-7.3814710577027425
1.9999999999999998e-05,-7.3814710577032985
2.0999999999999403e-05,-8.4039998979053028
2.0999999999999999e-05,-8.4039998979059387
2.1999999999999373e-05,-9.5161351044121254
2.1999999999999999e-05,-9.5161351044128502
2.2999999999999346e-05,-10.715542945303135
2.3e-05,-10.715542945303946
2.399999999999932e-05,-11.997816382842462
2.4000000000000001e-05,-11.997816382843363
2.4999999999999286e-05,-13.356826758730845
2.4999999999999998e-05,-13.356826758731838
2.599999999999926e-05,-14.786080397122793
2.5999999999999998e-05,-14.786080397123873
2.6999999999999233e-05,-16.278371123415468
2.6999999999999999e-05,-16.278371123416633
2.7999999999999203e-05,-17.825557985514806
2.8e-05,-17.825557985516056
2.8999999999999177e-05,-19.418870629473243
2.9e-05,-19.418870629474572
2.9999999999999144e-05,-21.050098145731003
2.9999999999999997e-05,-21.050098145732409
3.099999999999912e-05,-22.711277458166354
3.1000000000000001e-05,-22.711277458167828
3.1999999999999091e-05,-24.394490932305406
3.1999999999999999e-05,-24.39449093230694
3.2999999999999061e-05,-26.091882845350185
3.2999999999999996e-05,-26.091882845351776
3.3999999999999031e-05,-27.795702390764117
3.4e-05,-27.795702390765769
3.4999999999999001e-05,-29.498301762982585
3.4999999999999997e-05,-29.49830176298428
3.5999999999998978e-05,-31.192137000104601
3.6000000000000001e-05,-31.192137000106328
3.6999999999998948e-05,-32.870208921427562
3.6999999999999998e-05,-32.870208921429317
3.7999999999998918e-05,-34.527835325433827
3.7999999999999995e-05,-34.527835325435603
3.8999999999998888e-05,-36.162158306408102
3.8999999999999999e-05,-36.162158306409907
3.9999999999998858e-05,-37.771815049792551
3.9999999999999996e-05,-37.77181504979437
4.0999999999998835e-05,-39.356481945271646
4.1e-05,-39.35648194527348
4.1999999999998805e-05,-40.915060288358191
4.1999999999999998e-05,-40.915060288360031
4.2999999999998775e-05,-42.446170008939738
4.2999999999999995e-05,-42.446170008941586
4.3999999999998745e-05,-43.948474261408634
4.3999999999999999e-05,-43.948474261410496
4.4999999999998715e-05,-45.420680232509213
4.4999999999999996e-05,-45.420680232511081
4.5999999999998692e-05,-46.861540366166082
4.6e-05,-46.861540366167944
4.6999999999998662e-05,-48.269853526720908
4.6999999999999997e-05,-48.269853526722763
4.7999999999998639e-05,-49.644465633736161
4.8000000000000001e-05,-49.644465633738008
4.8999999999998603e-05,-50.984270218755569
4.8999999999999998e-05,-50.984270218757416
4.9999999999998573e-05,-52.288209440297891
4.9999999999999996e-05,-52.288209440299717
5.0999999999998549e-05,-53.555275035322488
5.1e-05,-53.5552750353243
5.199999999999852e-05,-54.784508698196916
5.1999999999999997e-05,-54.784508698198707
5.2999999999998496e-05,-55.975002380742282
5.3000000000000001e-05,-55.975002380744044
5.3999999999998467e-05,-57.125899092809185
5.3999999999999998e-05,-57.125899092810918
5.499999999999843e-05,-58.236393638434755
5.4999999999999995e-05,-58.236393638436461
5.5999999999998407e-05,-59.305732736479634
5.5999999999999999e-05,-59.305732736481303
5.6999999999998377e-05,-60.332772465917053
5.6999999999999996e-05,-60.33277246591868
5.7999999999998354e-05,-61.314178880639219
5.8e-05,-61.314178880640796
5.8999999999998324e-05,-62.244938029990649
5.8999999999999998e-05,-62.244938029992163
5.9999999999998287e-05,-63.11869802042105
5.9999999999999995e-05,-63.118698020422492
6.0999999999998264e-05,-63.928222629970499
6.0999999999999999e-05,-63.928222629971842
6.1999999999998241e-05,-64.667177854927246
6.2000000000000003e-05,-64.667177854928482
6.2999999999998211e-05,-65.329654958312588
6.3e-05,-65.329654958313697
6.3999999999998181e-05,-65.909858096901971
6.3999999999999997e-05,-65.909858096902951
6.4999999999998151e-05,-66.402117771471296
6.4999999999999994e-05,-66.40211777147212
6.5999999999998121e-05,-66.800931112350582
6.5999999999999992e-05,-66.800931112351236
6.6999999999998091e-05,-67.10095720169754
6.7000000000000002e-05,-67.100957201698009
6.7999999999998061e-05,-67.297014774686289
6.7999999999999999e-05,-67.297014774686559
6.8999999999998032e-05,-67.384373674255272
6.8999999999999997e-05,-67.384373674255329
6.9999999999998002e-05,-67.359929173848556
6.9999999999999994e-05,-67.3599291738484
7.0999999999997972e-05,-67.22187483081261
7.0999999999999991e-05,-67.221874830812212
7.1999999999997955e-05,-66.969483148714929
7.2000000000000002e-05,-66.969483148714289
7.2999999999997925e-05,-66.603422511014017
7.2999999999999999e-05,-66.603422511013136
7.3999999999997896e-05,-66.12707652369491
7.3999999999999996e-05,-66.127076523693802
7.4999999999997866e-05,-65.546156310594682
7.4999999999999993e-05,-65.546156310593346
7.5999999999997836e-05,-64.868434609129821
7.5999999999999991e-05,-64.868434609128258
7.6999999999997819e-05,-64.10310234867778
7.7000000000000001e-05,-64.103102348676018
7.7999999999997776e-05,-63.258239087128949
7.7999999999999999e-05,-63.258239087126988
7.8999999999997746e-05,-62.341488820840276
7.8999999999999996e-05,-62.341488820838137
7.9999999999997716e-05,-61.360500823621706
7.9999999999999993e-05,-61.360500823619404
8.0999999999997686e-05,-60.322920991715122
8.099999999999999e-05,-60.322920991712671
8.199999999999767e-05,-59.236384126475315
8.2000000000000001e-05,-59.236384126472728
8.299999999999764e-05,-58.108506293709276
8.2999999999999998e-05,-58.108506293706576
8.399999999999761e-05,-56.946876419674652
8.3999999999999995e-05,-56.946876419671845
8.499999999999758e-05,-55.758813797456376
8.4999999999999993e-05,-55.758813797453485
8.599999999999755e-05,-54.550408439191379
8.599999999999999e-05,-54.550408439188409
8.6999999999997534e-05,-53.326783440323034
8.7000000000000001e-05,-53.32678344032
8.799999999999749e-05,-52.092268050893992
8.7999999999999998e-05,-52.092268050890887
8.8999999999997461e-05,-50.850417452596744
8.8999999999999995e-05,-50.850417452593589
8.9999999999997431e-05,-49.604086939367114
8.9999999999999992e-05,-49.604086939363917
9.0999999999997401e-05,-48.3554173352398
9.0999999999999989e-05,-48.355417335236567
9.1999999999997384e-05,-47.105826752938839
9.2e-05,-47.10582675293557
9.2999999999997355e-05,-45.856232624500308
9.2999999999999997e-05,-45.856232624497004
9.3999999999997325e-05,-44.607940967223307
9.3999999999999994e-05,-44.607940967219974
9.4999999999997295e-05,-43.362404000029876
9.4999999999999992e-05,-43.362404000026523
9.5999999999997278e-05,-42.121059495129074
9.6000000000000002e-05,-42.121059495125699
9.6999999999997248e-05,-40.885328854410005
9.7e-05,-40.885328854406616
9.7999999999997205e-05,-39.656616248702306
9.7999999999999997e-05,-39.656616248698889
9.8999999999997175e-05,-38.43630777825264
9.8999999999999994e-05,-38.436307778249216
9.9999999999997145e-05,-37.225769638170227
9.9999999999999991e-05,-37.225769638166796
0.00010099999999999713,-36.026346298771251
0.000101,-36.02634629876782
0.0001019999999999971,-34.839359796340325
0.000102,-34.8393597963369
0.00010299999999999707,-33.666109049117843
0.000103,-33.666109049114432
0.00010399999999999704,-32.507868139782502
0.00010399999999999999,-32.507868139779106
0.00010499999999999701,-31.366101312337751
0.00010499999999999999,-31.366101312334372
0.00010599999999999699,-30.243343697251799
0.000106,-30.243343697248452
0.00010699999999999696,-29.142951347894137
0.000107,-29.142951347890833
0.00010799999999999693,-28.068932114865365
0.000108,-28.068932114862122
0.00010899999999999689,-27.025952169827818
0.00010899999999999999,-27.025952169824635
0.00010999999999999686,-26.019397653581184
0.00010999999999999999,-26.019397653578096
0.00011099999999999684,-25.055342924887828
0.000111,-25.055342924884858
0.00011199999999999681,-24.140523822883424
0.000112,-24.140523822880596
0.00011299999999999678,-23.282088848396597
0.000113,-23.282088848393936
0.00011399999999999675,-22.486631858123644
0.00011399999999999999,-22.486631858121175
0.00011499999999999672,-21.76044773126414
0.00011499999999999999,-21.760447731261888
0.00011599999999999671,-21.10969767503348
0.000116,-21.10969767503147
0.00011699999999999668,-20.540403209218702
0.000117,-20.540403209216954
0.00011799999999999665,-20.058441596126588
0.000118,-20.058441596125128
0.0001189999999999966,-19.669541459718857
0.00011899999999999999,-19.669541459717703
0.00011999999999999657,-19.379277368226958
0.00011999999999999999,-19.379277368226141
0.00012099999999999656,-19.192266673819184
0.000121,-19.192266673818718
0.00012199999999999653,-19.108920718846157
0.000122,-19.108920718846047
0.00012299999999999648,-19.126359860035201
0.00012299999999999998,-19.126359860035432
0.00012399999999999648,-19.239025806754366
0.00012400000000000001,-19.23902580675492
0.00012499999999999645,-19.439406460429549
0.000125,-19.439406460430408
0.00012599999999999642,-19.720891516432495
0.000126,-19.720891516433639
0.00012699999999999639,-20.077011805576301
0.000127,-20.077011805577712
0.00012799999999999636,-20.500941878065987
0.00012799999999999999,-20.500941878067643
0.00012899999999999633,-20.985614500103285
0.00012899999999999999,-20.985614500105161
0.0001299999999999963,-21.524157053048548
0.00012999999999999999,-21.524157053050622
0.00013099999999999627,-22.109783295012349
0.00013099999999999999,-22.109783295014601
0.00013199999999999624,-22.735723470356749
0.00013199999999999998,-22.735723470359158
0.00013299999999999624,-23.395239587715167
0.00013300000000000001,-23.395239587717708
0.00013399999999999618,-24.08166930603101
0.000134,-24.081669306033678
0.00013499999999999615,-24.788423304354527
0.000135,-24.788423304357277
0.00013599999999999612,-25.508984499907104
0.000136,-25.508984499909914
0.00013699999999999609,-26.237347010066344
0.000137,-26.237347010069197
0.00013799999999999606,-26.969785579481794
0.00013799999999999999,-26.969785579484679
0.00013899999999999603,-27.704363413747245
0.00013899999999999999,-27.704363413750155
0.000139999999999996,-28.440602229374115
0.00013999999999999999,-28.440602229377053
0.00014099999999999597,-29.179025525534502
0.00014099999999999998,-29.179025525537469
0.00014199999999999594,-29.919345522307495
0.00014199999999999998,-29.919345522310486
0.00014299999999999594,-30.660956533750245
0.00014300000000000001,-30.660956533753261
0.00014399999999999591,-31.403258296757969
0.000144,-31.403258296761006
0.00014499999999999588,-32.145655793953054
0.000145,-32.145655793956109
0.00014599999999999585,-32.887560614517881
0.000146,-32.887560614520957
0.00014699999999999582,-33.62839228846714
0.000147,-33.628392288470231
0.00014799999999999579,-34.367578068037304
0.00014799999999999999,-34.367578068040402
0.00014899999999999576,-35.104552679302941
0.00014899999999999999,-35.104552679306053
0.00014999999999999573,-35.838759652700048
0.00014999999999999999,-35.838759652703168
0.0001509999999999957,-36.569652624704617
0.00015099999999999998,-36.569652624707736
0.00015199999999999567,-37.296695042155214
0.00015199999999999998,-37.296695042158341
0.00015299999999999567,-38.01935983512081
0.00015300000000000001,-38.019359835123936
