"Time / s","IL_2:Measured current"
0,0
9.9999999999997158e-07,-0.013543790942841548
9.9999999999999995e-07,-0.013543790942842316
1.9999999999999432e-06,-0.053994796195476293
1.9999999999999999e-06,-0.053994796195479346
2.9999999999999149e-06,-0.12106390209728468
3.0000000000000001e-06,-0.12106390209729152
3.9999999999998863e-06,-0.21443767197974956
3.9999999999999998e-06,-0.21443767197976163
4.9999999999998573e-06,-0.3338808190076305
4.9999999999999996e-06,-0.33388081900764938
5.9999999999998299e-06,-0.47965138623155645
6.0000000000000002e-06,-0.47965138623158354
6.9999999999998008e-06,-0.65238400640110017
6.9999999999999999e-06,-0.65238400640113725
7.9999999999997726e-06,-0.85301167236268105
7.9999999999999996e-06,-0.8530116723627299
8.9999999999997444e-06,-1.0830090511237918
9.0000000000000002e-06,-1.0830090511238546
9.9999999999997145e-06,-1.3453940107237212
9.9999999999999991e-06,-1.3453940107238009
1.0999999999999686e-05,-1.6444385025877197
1.1e-05,-1.6444385025878197
1.199999999999966e-05,-1.9854725692513397
1.2e-05,-1.9854725692514636
1.299999999999963e-05,-2.3745189636164072
1.2999999999999999e-05,-2.3745189636165605
1.3999999999999602e-05,-2.8168558770168888
1.4e-05,-2.8168558770170762
1.4999999999999572e-05,-3.3174010332325383
1.4999999999999999e-05,-3.3174010332327653
1.5999999999999545e-05,-3.8809627274503766
1.5999999999999999e-05,-3.8809627274506475
1.6999999999999515e-05,-4.5115331663439804
1.7e-05,-4.5115331663443019
1.7999999999999489e-05,-5.2094279580053895
1.8e-05,-5.2094279580057634
1.8999999999999459e-05,-5.9720909383725775
1.8999999999999998e-05,-5.9720909383730048
1.9999999999999429e-05,-6.7946334800303694
1.9999999999999998e-05,-6.7946334800308534
2.0999999999999403e-05,-7.6703647792728384
2.0999999999999999e-05,-7.6703647792733749
2.1999999999999373e-05,-8.5928655479288398
2.1999999999999999e-05,-8.5928655479294314
2.2999999999999346e-05,-9.5554420130715734
2.3e-05,-9.5554420130722146
2.399999999999932e-05,-10.550771742168042
2.4000000000000001e-05,-10.550771742168729
2.4999999999999286e-05,-11.571117437961165
2.4999999999999998e-05,-11.571117437961899
2.599999999999926e-05,-12.609154730217854
2.5999999999999998e-05,-12.609154730218625
2.6999999999999233e-05,-13.657757153302283
2.6999999999999999e-05,-13.657757153303088
2.7999999999999203e-05,-14.709856938355919
2.8e-05,-14.709856938356756
2.8999999999999177e-05,-15.758451895394492
2.9e-05,-15.758451895395352
2.9999999999999144e-05,-16.796612463751146
2.9999999999999997e-05,-16.796612463752027
3.099999999999912e-05,-17.817488620474119
3.1000000000000001e-05,-17.817488620475007
3.1999999999999091e-05,-18.814316343914268
3.1999999999999999e-05,-18.814316343915159
3.2999999999999061e-05,-19.780547551905379
3.2999999999999996e-05,-19.780547551906267
3.3999999999999031e-05,-20.710359430975686
3.4e-05,-20.710359430976567
3.4999999999999001e-05,-21.598518414880516
3.4999999999999997e-05,-21.598518414881379
3.5999999999998978e-05,-22.440290391879934
3.6000000000000001e-05,-22.440290391880769
3.6999999999998948e-05,-23.231644668938209
3.6999999999999998e-05,-23.231644668939012
3.7999999999998918e-05,-23.970083074001838
3.7999999999999995e-05,-23.970083074002606
3.8999999999998888e-05,-24.654404643920273
3.8999999999999999e-05,-24.654404643921005
3.9999999999998858e-05,-25.28454647009902
3.9999999999999996e-05,-25.284546470099706
4.0999999999998835e-05,-25.861244980999619
4.1e-05,-25.861244981000258
4.1999999999998805e-05,-26.384692057706534
4.1999999999999998e-05,-26.384692057707127
4.2999999999998775e-05,-26.854899125904204
4.2999999999999995e-05,-26.854899125904744
4.3999999999998745e-05,-27.271935952280437
4.3999999999999999e-05,-27.271935952280927
4.4999999999998715e-05,-27.635929812730058
4.4999999999999996e-05,-27.635929812730492
4.5999999999998692e-05,-27.947065077755678
4.6e-05,-27.947065077756051
4.6999999999998662e-05,-28.205582738245095
4.6999999999999997e-05,-28.205582738245404
4.7999999999998639e-05,-28.411779406517724
4.8000000000000001e-05,-28.411779406517969
4.8999999999998603e-05,-28.566006244744841
4.8999999999999998e-05,-28.566006244745019
4.9999999999998573e-05,-28.668668358713351
4.9999999999999996e-05,-28.668668358713461
5.0999999999998549e-05,-28.720224136843139
5.1e-05,-28.720224136843179
5.199999999999852e-05,-28.721184027134139
5.1999999999999997e-05,-28.721184027134104
5.2999999999998496e-05,-28.672109247240019
5.3000000000000001e-05,-28.672109247239909
5.3999999999998467e-05,-28.573611008714657
5.3999999999999998e-05,-28.573611008714469
5.499999999999843e-05,-28.426349692046237
5.4999999999999995e-05,-28.426349692045967
5.5999999999998407e-05,-28.231033422912425
5.5999999999999999e-05,-28.231033422912077
5.6999999999998377e-05,-27.988089055544201
5.6999999999999996e-05,-27.988089055543767
5.7999999999998354e-05,-27.696329229232205
5.8e-05,-27.696329229231683
5.8999999999998324e-05,-27.353328446361648
5.8999999999999998e-05,-27.353328446361029
5.9999999999998287e-05,-26.955674708345079
5.9999999999999995e-05,-26.95567470834435
6.0999999999998264e-05,-26.499186411845471
6.0999999999999999e-05,-26.499186411844626
6.1999999999998241e-05,-25.979756099500428
6.2000000000000003e-05,-25.979756099499454
6.2999999999998211e-05,-25.393131223467062
6.3e-05,-25.39313122346595
6.3999999999998181e-05,-24.734772209719551
6.3999999999999997e-05,-24.734772209718287
6.4999999999998151e-05,-23.999983507110823
6.4999999999999994e-05,-23.999983507109395
6.5999999999998121e-05,-23.184424757891424
6.5999999999999992e-05,-23.184424757889822
6.6999999999998091e-05,-22.283976995106858
6.7000000000000002e-05,-22.283976995105053
6.7999999999998061e-05,-21.294655101551278
6.7999999999999999e-05,-21.294655101549271
6.8999999999998032e-05,-20.212610509641298
6.8999999999999997e-05,-20.212610509639077
6.9999999999998002e-05,-19.034134459454293
6.9999999999999994e-05,-19.034134459451849
7.0999999999997972e-05,-17.755661074659709
7.0999999999999991e-05,-17.755661074657024
7.1999999999997955e-05,-16.373769534299587
7.2000000000000002e-05,-16.373769534296652
7.2999999999997925e-05,-14.885385994619144
7.2999999999999999e-05,-14.885385994615946
7.3999999999997896e-05,-13.28859931325097
7.3999999999999996e-05,-13.2885993132475
7.4999999999997866e-05,-11.582433262825971
7.4999999999999993e-05,-11.582433262822224
7.5999999999997836e-05,-9.7666933741949933
7.5999999999999991e-05,-9.7666933741909627
7.6999999999997819e-05,-7.8424616831707166
7.7000000000000001e-05,-7.8424616831664027
7.7999999999997776e-05,-5.8141325074742189
7.7999999999999999e-05,-5.8141325074695995
7.8999999999997746e-05,-3.6888256161441544
7.8999999999999996e-05,-3.6888256161392703
7.9999999999997716e-05,-1.4759877854583996
7.9999999999999993e-05,-1.4759877854532704
8.0999999999997686e-05,0.81334279795336606
8.099999999999999e-05,0.81334279795872066
8.199999999999767e-05,3.1694276143527036
8.2000000000000001e-05,3.1694276143582663
8.299999999999764e-05,5.5830558233333782
8.2999999999999998e-05,5.583055823339131
8.399999999999761e-05,8.0450406881590322
8.3999999999999995e-05,8.0450406881649545
8.499999999999758e-05,10.54657886994125
8.4999999999999993e-05,10.546578869947327
8.599999999999755e-05,13.080679745775459
8.599999999999999e-05,13.080679745781676
8.6999999999997534e-05,15.641772293676537
8.7000000000000001e-05,15.641772293682884
8.799999999999749e-05,18.225444747198111
8.7999999999999998e-05,18.225444747204616
8.8999999999997461e-05,20.828191208682206
8.8999999999999995e-05,20.828191208688825
8.9999999999997431e-05,23.446397735282552
8.9999999999999992e-05,23.446397735289274
9.0999999999997401e-05,26.076617649842863
9.0999999999999989e-05,26.076617649849684
9.1999999999997384e-05,28.715753181591687
9.2e-05,28.7157531815986
9.2999999999997355e-05,31.360953941971761
9.2999999999999997e-05,31.360953941978757
9.3999999999997325e-05,34.009201394293186
9.3999999999999994e-05,34.009201394300256
9.4999999999997295e-05,36.657424903597921
9.4999999999999992e-05,36.657424903605062
9.5999999999997278e-05,39.302579871868296
9.6000000000000002e-05,39.302579871875494
9.6999999999997248e-05,41.94165127708326
9.7e-05,41.941651277090507
9.7999999999997205e-05,44.571656120862954
9.7999999999999997e-05,44.57165612087028
9.8999999999997175e-05,47.189645824909604
9.8999999999999994e-05,47.189645824916965
9.9999999999997145e-05,49.792709591094059
9.9999999999999991e-05,49.792709591101442
0.00010099999999999713,52.377977713906269
0.000101,52.377977713913666
0.0001019999999999971,54.942623748446671
0.000102,54.942623748454075
0.00010299999999999707,57.483866617893014
0.000103,57.483866617900418
0.00010399999999999704,59.998973717965463
0.00010399999999999999,59.998973717972852
0.00010499999999999701,62.485171247271609
0.00010499999999999999,62.485171247278977
0.00010599999999999699,64.939268991568071
0.000106,64.939268991575403
0.00010699999999999696,67.357768839656401
0.000107,67.357768839663692
0.00010799999999999693,69.73693928417218
0.000108,69.7369392841794
0.00010899999999999689,72.072556579867282
0.00010899999999999999,72.072556579874458
0.00010999999999999686,74.358829932038006
0.00010999999999999999,74.358829932045083
0.00011099999999999684,76.588713523661525
0.000111,76.588713523668474
0.00011199999999999681,78.7541194157332
0.000112,78.754119415739979
0.00011299999999999678,80.846295520695776
0.000113,80.84629552070237
0.00011399999999999675,82.857302639142645
0.00011399999999999999,82.857302639149026
0.00011499999999999672,84.779621952917978
0.00011499999999999999,84.779621952924103
0.00011599999999999671,86.605900079680367
0.000116,86.605900079686222
0.00011699999999999668,88.329828783041762
0.000117,88.329828783047319
0.00011799999999999665,89.949699636402471
0.000118,89.949699636407715
0.0001189999999999966,91.46740468731214
0.00011899999999999999,91.467404687317114
0.00011999999999999657,92.887767994625449
0.00011999999999999999,92.887767994630138
0.00012099999999999656,94.217669551814396
0.000121,94.21766955181883
0.00012199999999999653,95.462579621859646
0.000122,95.462579621863824
0.00012299999999999648,96.627489380993467
0.00012299999999999998,96.627489380997403
0.00012399999999999648,97.717521505984649
0.00012400000000000001,97.717521505988358
0.00012499999999999645,98.737894454679846
0.000125,98.737894454683357
0.00012599999999999642,99.69379439443621
0.000126,99.693794394439522
0.00012699999999999639,100.59040181212778
0.000127,100.59040181213091
0.00012799999999999636,101.43290818379016
0.00012799999999999999,101.43290818379313
0.00012899999999999633,102.2265110121413
0.00012899999999999999,102.22651101214412
0.0001299999999999963,102.9764075312665
0.00012999999999999999,102.97640753126919
0.00013099999999999627,103.68778847430315
0.00013099999999999999,103.68778847430572
0.00013199999999999624,104.36583326593212
0.00013199999999999998,104.36583326593461
0.00013299999999999624,105.0155724214125
0.00013300000000000001,105.0155724214149
0.00013399999999999618,105.64134109457535
0.000134,105.6413410945777
0.00013499999999999615,106.24692603567158
0.000135,106.24692603567388
0.00013599999999999612,106.83566381219357
0.000136,106.83566381219583
0.00013699999999999609,107.41025691038853
0.000137,107.41025691039074
0.00013799999999999606,107.97202014653004
0.00013799999999999999,107.97202014653223
0.00013899999999999603,108.52109515922439
0.00013899999999999999,108.52109515922653
0.000139999999999996,109.05659672354621
0.00013999999999999999,109.05659672354831
0.00014099999999999597,109.57694277428762
0.00014099999999999998,109.57694277428968
0.00014199999999999594,110.08116010752639
0.00014199999999999998,110.08116010752839
0.00014299999999999594,110.56853013763187
0.00014300000000000001,110.56853013763381
0.00014399999999999591,111.03835741553483
0.000144,111.03835741553672
0.00014499999999999588,111.48997093699444
0.000145,111.48997093699626
0.00014599999999999585,111.92272387106394
0.000146,111.92272387106568
0.00014699999999999582,112.33599327246766
0.000147,112.33599327246934
0.00014799999999999579,112.72918130347274
0.00014799999999999999,112.72918130347435
0.00014899999999999576,113.10171644145952
0.00014899999999999999,113.10171644146105
0.00014999999999999573,113.45305306287804
0.00014999999999999999,113.45305306287949
0.0001509999999999957,113.78267101076275
0.00015099999999999998,113.78267101076412
0.00015199999999999567,114.09007671379133
0.00015199999999999998,114.09007671379261
0.00015299999999999567,114.37480429051432
0.00015300000000000001,114.3748042905155
0.00015399999999999564,114.63641498655872
0.000154,114.63641498655981
0.00015499999999999558,114.8744965955907
0.000155,114.87449659559169
0.00015599999999999555,115.08866447457228
0.000156,115.08866447457318
0.00015699999999999552,115.27888085077423
0.00015699999999999999,115.27888085077502
