"Time / s","IL_2:Measured current"
0,0
9.9999999999997158e-07,-0.013543790942841548
9.9999999999999995e-07,-0.013543790942842316
1.9999999999999432e-06,-0.053994796195476293
1.9999999999999999e-06,-0.053994796195479346
2.9999999999999149e-06,-0.12106390209728468
3.0000000000000001e-06,-0.12106390209729152
3.9999999999998863e-06,-0.21443767197974956
3.9999999999999998e-06,-0.21443767197976163
4.9999999999998573e-06,-0.33383383554426171
4.9999999999999996e-06,-0.33383383554428053
5.9999999999998299e-06,-0.47922539453076907
6.0000000000000002e-06,-0.47922539453079604
6.9999999999998008e-06,-0.6507779679753446
6.9999999999999999e-06,-0.65077796797538134
7.9999999999997726e-06,-0.84880788832112397
7.9999999999999996e-06,-0.84880788832117193
8.9999999999997444e-06,-1.0741215856950104
9.0000000000000002e-06,-1.0741215856950717
9.9999999999997145e-06,-1.329401503655905
9.9999999999999991e-06,-1.3294015036559823
1.0999999999999686e-05,-1.6188111839759376
1.1e-05,-1.6188111839760342
1.199999999999966e-05,-1.9477291257335545
1.2e-05,-1.947729125733674
1.299999999999963e-05,-2.3223348429753141
1.2999999999999999e-05,-2.3223348429754616
1.3999999999999602e-05,-2.7479787883319804
1.4e-05,-2.7479787883321607
1.4999999999999572e-05,-3.2296186536824925
1.4999999999999999e-05,-3.2296186536827105
1.5999999999999545e-05,-3.7721047106431262
1.5999999999999999e-05,-3.7721047106433869
1.6999999999999515e-05,-4.3801137850431298
1.7e-05,-4.3801137850434406
1.7999999999999489e-05,-5.0578942977318055
1.8e-05,-5.0578942977321706
1.8999999999999459e-05,-5.8093334807373687
1.8999999999999998e-05,-5.8093334807377941
1.9999999999999429e-05,-6.6380012577538032
1.9999999999999998e-05,-6.6380012577542979
2.0999999999999403e-05,-7.5463703865629235
2.0999999999999999e-05,-7.5463703865634884
2.1999999999999373e-05,-8.5326483032145113
2.1999999999999999e-05,-8.5326483032151526
2.2999999999999346e-05,-9.5916737759103761
2.3e-05,-9.5916737759110902
2.399999999999932e-05,-10.715519251036381
2.4000000000000001e-05,-10.715519251037167
2.4999999999999286e-05,-11.894366793045803
2.4999999999999998e-05,-11.894366793046659
2.599999999999926e-05,-13.119965010249155
2.5999999999999998e-05,-13.119965010250075
2.6999999999999233e-05,-14.384702034122487
2.6999999999999999e-05,-14.384702034123467
2.7999999999999203e-05,-15.680998478509204
2.8e-05,-15.680998478510247
2.8999999999999177e-05,-17.001315102972871
2.9e-05,-17.001315102973965
2.9999999999999144e-05,-18.338160664731472
2.9999999999999997e-05,-18.338160664732619
3.099999999999912e-05,-19.684099647743544
3.1000000000000001e-05,-19.684099647744731
3.1999999999999091e-05,-21.031759565132095
3.1999999999999999e-05,-21.031759565133317
3.2999999999999061e-05,-22.37400873675341
3.2999999999999996e-05,-22.374008736754661
3.3999999999999031e-05,-23.704657564738191
3.4e-05,-23.704657564739474
3.4999999999999001e-05,-25.018269313470046
3.4999999999999997e-05,-25.018269313471343
3.5999999999998978e-05,-26.310034891903069
3.6000000000000001e-05,-26.310034891904376
3.6999999999998948e-05,-27.575881661077062
3.6999999999999998e-05,-27.575881661078377
3.7999999999998918e-05,-28.812919072730217
3.7999999999999995e-05,-28.812919072731535
3.8999999999998888e-05,-30.019310090594978
3.8999999999999999e-05,-30.019310090596299
3.9999999999998858e-05,-31.19418312997885
3.9999999999999996e-05,-31.194183129980168
4.0999999999998835e-05,-32.337342855553452
4.1e-05,-32.337342855554766
4.1999999999998805e-05,-33.448120062369121
4.1999999999999998e-05,-33.448120062370428
4.2999999999998775e-05,-34.52568452838954
4.2999999999999995e-05,-34.525684528390833
4.3999999999998745e-05,-35.569250481695107
4.3999999999999999e-05,-35.569250481696393
4.4999999999998715e-05,-36.578076807876023
4.4999999999999996e-05,-36.578076807877295
4.5999999999998692e-05,-37.551467679096532
4.6e-05,-37.551467679097783
4.6999999999998662e-05,-38.488773126853246
4.6999999999999997e-05,-38.488773126854475
4.7999999999998639e-05,-39.389389092170525
4.8000000000000001e-05,-39.389389092171726
4.8999999999998603e-05,-40.252757404195719
4.8999999999999998e-05,-40.252757404196899
4.9999999999998573e-05,-41.078366224031726
4.9999999999999996e-05,-41.078366224032877
5.0999999999998549e-05,-41.865750432594119
5.1e-05,-41.865750432595235
5.199999999999852e-05,-42.614491454058296
5.1999999999999997e-05,-42.614491454059376
5.2999999999998496e-05,-43.324217008994715
5.3000000000000001e-05,-43.324217008995753
5.3999999999998467e-05,-43.994601377153174
5.3999999999999998e-05,-43.994601377154169
5.499999999999843e-05,-44.625365605440571
5.4999999999999995e-05,-44.62536560544153
5.5999999999998407e-05,-45.216277110470315
5.5999999999999999e-05,-45.216277110471225
5.6999999999998377e-05,-45.766868663995737
5.6999999999999996e-05,-45.766868663996597
5.7999999999998354e-05,-46.275297533697831
5.8e-05,-46.275297533698634
5.8999999999998324e-05,-46.738668475961184
5.8999999999999998e-05,-46.738668475961923
5.9999999999998287e-05,-47.153250035584477
5.9999999999999995e-05,-47.153250035585138
6.0999999999998264e-05,-47.51459634962373
6.0999999999999999e-05,-47.514596349624306
6.1999999999998241e-05,-47.818007474471585
6.2000000000000003e-05,-47.818007474472068
6.2999999999998211e-05,-48.058416898687589
6.3e-05,-48.058416898687959
6.3999999999998181e-05,-48.230320693221813
6.3999999999999997e-05,-48.230320693222062
6.4999999999998151e-05,-48.32795804407391
6.4999999999999994e-05,-48.327958044074016
6.5999999999998121e-05,-48.346016133123385
6.5999999999999992e-05,-48.346016133123342
6.6999999999998091e-05,-48.279445017771771
6.7000000000000002e-05,-48.279445017771558
6.7999999999998061e-05,-48.123336659497674
6.7999999999999999e-05,-48.123336659497284
6.8999999999998032e-05,-47.872928539148177
6.8999999999999997e-05,-47.872928539147587
6.9999999999998002e-05,-47.523607812629216
6.9999999999999994e-05,-47.52360781262842
7.0999999999997972e-05,-47.070915265921798
7.0999999999999991e-05,-47.070915265920775
7.1999999999997955e-05,-46.510548346605468
7.2000000000000002e-05,-46.51054834660421
7.2999999999997925e-05,-45.83920462256701
7.2999999999999999e-05,-45.839204622565504
7.3999999999997896e-05,-45.058003940254189
7.3999999999999996e-05,-45.058003940252433
7.4999999999997866e-05,-44.171523891152233
7.4999999999999993e-05,-44.171523891150237
7.5999999999997836e-05,-43.187152069021117
7.5999999999999991e-05,-43.1871520690189
7.6999999999997819e-05,-42.114271492807006
7.7000000000000001e-05,-42.114271492804576
7.7999999999997776e-05,-40.96105533454714
7.7999999999999999e-05,-40.961055334544497
7.8999999999997746e-05,-39.735323518695516
7.8999999999999996e-05,-39.735323518692681
7.9999999999997716e-05,-38.445101551180862
7.9999999999999993e-05,-38.445101551177856
8.0999999999997686e-05,-37.098547795691395
8.099999999999999e-05,-37.098547795688233
8.199999999999767e-05,-35.703692233997366
8.2000000000000001e-05,-35.703692233994062
8.299999999999764e-05,-34.268497133589129
8.2999999999999998e-05,-34.268497133585704
8.399999999999761e-05,-32.800893443024798
8.3999999999999995e-05,-32.800893443021266
8.499999999999758e-05,-31.308375922058303
8.4999999999999993e-05,-31.308375922054676
8.599999999999755e-05,-29.796384150537911
8.599999999999999e-05,-29.796384150534202
8.6999999999997534e-05,-28.268751122539705
8.7000000000000001e-05,-28.268751122535921
8.799999999999749e-05,-26.728001301870805
8.7999999999999998e-05,-26.728001301866925
8.8999999999997461e-05,-25.175701452827994
8.8999999999999995e-05,-25.175701452824047
8.9999999999997431e-05,-23.613860304858807
8.9999999999999992e-05,-23.613860304854796
9.0999999999997401e-05,-22.044548792578688
9.0999999999999989e-05,-22.044548792574616
9.1999999999997384e-05,-20.469649600251177
9.2e-05,-20.469649600247052
9.2999999999997355e-05,-18.890911442212499
9.2999999999999997e-05,-18.890911442208324
9.3999999999997325e-05,-17.310173089391277
9.3999999999999994e-05,-17.310173089387057
9.4999999999997295e-05,-15.729300808253823
9.4999999999999992e-05,-15.729300808249562
9.5999999999997278e-05,-14.150145789612871
9.6000000000000002e-05,-14.150145789608574
9.6999999999997248e-05,-12.574541788387798
9.7e-05,-12.574541788383469
9.7999999999997205e-05,-11.004303831269
9.7999999999999997e-05,-11.004303831264625
9.8999999999997175e-05,-9.4412269510518581
9.8999999999999994e-05,-9.4412269510474633
9.9999999999997145e-05,-7.8870839318003449
9.9999999999999991e-05,-7.887083931795936
0.00010099999999999713,-6.3436230751676685
0.000101,-6.3436230751632507
0.0001019999999999971,-4.8125670837788981
0.000102,-4.8125670837744767
0.00010299999999999707,-3.2956119768611458
0.000103,-3.2956119768567276
0.00010399999999999704,-1.7944249797560679
0.00010399999999999999,-1.7944249797516576
0.00010499999999999701,-0.31069400530473779
0.00010499999999999999,-0.31069400530034197
0.00010599999999999699,1.1536635571039224
0.000106,1.1536635571082969
0.00010699999999999696,2.5965610825967427
0.000107,2.5965610826010881
0.00010799999999999693,4.0157845244323385
0.000108,4.015784524436647
0.00010899999999999689,5.4086485882676394
0.00010899999999999999,5.4086485882719169
0.00010999999999999686,6.7705844346051913
0.00010999999999999999,6.7705844346094004
0.00011099999999999684,8.0955436030489274
0.000111,8.095543603053045
0.00011199999999999681,9.3762716196517104
0.000112,9.3762716196557108
0.00011299999999999678,10.604727804400845
0.000113,10.604727804404698
0.00011399999999999675,11.773730518132963
0.00011399999999999999,11.773730518136645
0.00011499999999999672,12.876518298922004
0.00011499999999999999,12.876518298925491
0.00011599999999999671,13.906464278935454
0.000116,13.906464278938719
0.00011699999999999668,14.857309879971043
0.000117,14.857309879974062
0.00011799999999999665,15.724093814444378
0.000118,15.724093814447135
0.0001189999999999966,16.502895411848712
0.00011899999999999999,16.502895411851199
0.00011999999999999657,17.19066485274028
0.00011999999999999999,17.190664852742472
0.00012099999999999656,17.785666665661015
0.000121,17.785666665662905
0.00012199999999999653,18.289294926380069
0.000122,18.289294926381661
0.00012299999999999648,18.705550060947946
0.00012299999999999998,18.705550060949257
0.00012399999999999648,19.040685416646813
0.00012400000000000001,19.040685416647861
0.00012499999999999645,19.302504151893423
0.000125,19.30250415189423
0.00012599999999999642,19.497582038421431
0.000126,19.497582038422017
0.00012699999999999639,19.632011226346073
0.000127,19.632011226346457
0.00012799999999999636,19.711888105484753
0.00012799999999999999,19.711888105484952
0.00012899999999999633,19.743307435112015
0.00012899999999999999,19.743307435112047
0.0001299999999999963,19.732355157171696
0.00012999999999999999,19.732355157171586
0.00013099999999999627,19.68510128959014
0.00013099999999999999,19.685101289589905
0.00013199999999999624,19.607594262280269
0.00013199999999999998,19.607594262279932
0.00013299999999999624,19.505681326004424
0.00013300000000000001,19.505681326004002
0.00013399999999999618,19.384293921834349
0.000134,19.384293921833855
0.00013499999999999615,19.247641213472349
0.000135,19.247641213471798
0.00013599999999999612,19.099339347731409
0.000136,19.099339347730815
0.00013699999999999609,18.942310946685321
0.000137,18.942310946684692
0.00013799999999999606,18.778367466898739
0.00013799999999999999,18.778367466898082
0.00013899999999999603,18.608330313099827
0.00013899999999999999,18.608330313099142
0.000139999999999996,18.432115021380206
0.00013999999999999999,18.432115021379492
0.00014099999999999597,18.249018083060115
0.00014099999999999998,18.249018083059365
0.00014199999999999594,18.058853130252633
0.00014199999999999998,18.058853130251851
0.00014299999999999594,17.861641804191144
0.00014300000000000001,17.861641804190327
0.00014399999999999591,17.657411727009904
0.000144,17.657411727009055
0.00014499999999999588,17.446197189649308
0.000145,17.446197189648423
0.00014599999999999585,17.228038284512728
0.000146,17.228038284511808
0.00014699999999999582,17.002980047005838
0.000147,17.002980047004886
0.00014799999999999579,16.771073131929501
0.00014799999999999999,16.771073131928514
0.00014899999999999576,16.532374501287681
0.00014899999999999999,16.532374501286657
0.00014999999999999573,16.286946514523994
0.00014999999999999999,16.286946514522935
0.0001509999999999957,16.034856028655099
0.00015099999999999998,16.034856028654005
0.00015199999999999567,15.776175076551388
0.00015199999999999998,15.776175076550258
0.00015299999999999567,15.510981557226048
0.00015300000000000001,15.510981557224884
0.00015399999999999564,15.23935828613903
0.000154,15.239358286137831
0.00015499999999999558,14.961392056473075
0.000155,14.961392056471833
0.00015599999999999555,14.67717432205945
