time,I_L2
0.0000000000e+00,9.2010757047e+00
4.0000000000e-06,1.2110708099e+01
8.0000000000e-06,1.4783130984e+01
1.2000000000e-05,1.7180107112e+01
1.6000000000e-05,1.9137657311e+01
2.0000000000e-05,2.0263152412e+01
2.4000000000e-05,2.0195108094e+01
2.8000000000e-05,1.8867372464e+01
3.2000000000e-05,1.6719908231e+01
3.6000000000e-05,1.4187304701e+01
4.0000000000e-05,1.1619619017e+01
4.4000000000e-05,9.1587269813e+00
4.8000000000e-05,6.8313523896e+00
5.2000000000e-05,4.6661498401e+00
5.6000000000e-05,2.6876546561e+00
6.0000000000e-05,9.1601541317e-01
6.4000000000e-05,-5.6999957903e-01
6.8000000000e-05,-1.5126923882e+00
7.2000000000e-05,-1.5473910416e+00
7.6000000000e-05,-3.5694263566e-01
8.0000000000e-05,2.0606385740e+00
8.4000000000e-05,5.2157904688e+00
8.8000000000e-05,8.6523216171e+00
9.2000000000e-05,1.2066510834e+01
9.6000000000e-05,1.5402581996e+01
1.0000000000e-04,1.8596249290e+01
1.0400000000e-04,2.1587534528e+01
1.0800000000e-04,2.4321628204e+01
1.1200000000e-04,2.6749633040e+01
1.1600000000e-04,2.8698578337e+01
1.2000000000e-04,2.9768456657e+01
1.2400000000e-04,2.9626334525e+01
1.2800000000e-04,2.8274442766e+01
1.3200000000e-04,2.6158298481e+01
1.3600000000e-04,2.3698464385e+01
1.4000000000e-04,2.1231052324e+01
1.4400000000e-04,1.8883461203e+01
1.4800000000e-04,1.6669670117e+01
1.5200000000e-04,1.4606003317e+01
1.5600000000e-04,1.2705337978e+01
1.6000000000e-04,1.0977009577e+01
1.6400000000e-04,9.4892289338e+00
1.6800000000e-04,8.4897090908e+00
1.7200000000e-04,8.3358588685e+00
1.7600000000e-04,9.3502551393e+00
1.8000000000e-04,1.1586493625e+01
1.8400000000e-04,1.4612304927e+01
1.8800000000e-04,1.7958919018e+01
1.9200000000e-04,2.1313598470e+01
1.9600000000e-04,2.4609983655e+01
2.0000000000e-04,2.7773343288e+01
